,,,,いただく,頂く,956,956,8824,動詞,非自立,*,*,五段・カ行イ音便,基本形,頂く,イタダク,イタダク
,,,,いただか,頂か,966,966,8913,動詞,非自立,*,*,五段・カ行イ音便,未然形,頂く,イタダカ,イタダカ
,,,,いただこ,頂こ,961,961,8913,動詞,非自立,*,*,五段・カ行イ音便,未然ウ接続,頂く,イタダコ,イタダコ
,,,,いただき,頂き,981,981,8752,動詞,非自立,*,*,五段・カ行イ音便,連用形,頂く,イタダキ,イタダキ
,,,,いただい,頂い,976,976,8900,動詞,非自立,*,*,五段・カ行イ音便,連用タ接続,頂く,イタダイ,イタダイ
,,,,いただけ,頂け,946,946,8959,動詞,非自立,*,*,五段・カ行イ音便,仮定形,頂く,イタダケ,イタダケ
,,,,いただけ,頂け,971,971,8959,動詞,非自立,*,*,五段・カ行イ音便,命令ｅ,頂く,イタダケ,イタダケ
,,,,いただきゃ,頂きゃ,951,951,8913,動詞,非自立,*,*,五段・カ行イ音便,仮定縮約１,頂く,イタダキャ,イタダキャ
,,,,くださる,下さる,1219,1219,8326,動詞,非自立,*,*,五段・ラ行特殊,基本形,下さる,クダサル,クダサル
,,,,くださら,下さら,1227,1227,8341,動詞,非自立,*,*,五段・ラ行特殊,未然形,下さる,クダサラ,クダサラ
,,,,くださん,下さん,1231,1231,8341,動詞,非自立,*,*,五段・ラ行特殊,未然特殊,下さる,クダサン,クダサン
,,,,くださろ,下さろ,1223,1223,8341,動詞,非自立,*,*,五段・ラ行特殊,未然ウ接続,下さる,クダサロ,クダサロ
,,,,ください,下さい,1247,1247,7920,動詞,非自立,*,*,五段・ラ行特殊,連用形,下さる,クダサイ,クダサイ
,,,,くださっ,下さっ,1243,1243,8291,動詞,非自立,*,*,五段・ラ行特殊,連用タ接続,下さる,クダサッ,クダサッ
,,,,くだされ,下され,1211,1211,8127,動詞,非自立,*,*,五段・ラ行特殊,仮定形,下さる,クダサレ,クダサレ
,,,,くだされ,下され,1235,1235,8127,動詞,非自立,*,*,五段・ラ行特殊,命令ｅ,下さる,クダサレ,クダサレ
,,,,ください,下さい,1239,1239,7920,動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ
,,,,くださりゃ,下さりゃ,1215,1215,8341,動詞,非自立,*,*,五段・ラ行特殊,仮定縮約１,下さる,クダサリャ,クダサリャ
,,,,いく,行く,994,994,8852,動詞,非自立,*,*,五段・カ行促音便,基本形,行く,イク,イク
,,,,いか,行か,1002,1002,7754,動詞,非自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ
,,,,いこ,行こ,998,998,8417,動詞,非自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ
,,,,いき,行き,1014,1014,8036,動詞,非自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ
,,,,いっ,行っ,1010,1010,9155,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ
,,,,いけ,行け,986,986,7878,動詞,非自立,*,*,五段・カ行促音便,仮定形,行く,イケ,イケ
,,,,いけ,行け,1006,1006,7878,動詞,非自立,*,*,五段・カ行促音便,命令ｅ,行く,イケ,イケ
,,,,ゆく,行く,1020,1020,9867,動詞,非自立,*,*,五段・カ行促音便ユク,基本形,行く,ユク,ユク
,,,,ゆか,行か,1024,1024,8981,動詞,非自立,*,*,五段・カ行促音便ユク,未然形,行く,ユカ,ユカ
,,,,ゆこ,行こ,1022,1022,8762,動詞,非自立,*,*,五段・カ行促音便ユク,未然ウ接続,行く,ユコ,ユコ
,,,,ゆき,行き,1028,1028,9185,動詞,非自立,*,*,五段・カ行促音便ユク,連用形,行く,ユキ,ユキ
,,,,ゆけ,行け,1016,1016,9277,動詞,非自立,*,*,五段・カ行促音便ユク,仮定形,行く,ユケ,ユケ
,,,,ゆけ,行け,1026,1026,9277,動詞,非自立,*,*,五段・カ行促音便ユク,命令ｅ,行く,ユケ,ユケ
,,,,ゆきゃ,行きゃ,1018,1018,8623,動詞,非自立,*,*,五段・カ行促音便ユク,仮定縮約１,行く,ユキャ,ユキャ
,,,,くる,来る,907,907,8527,動詞,非自立,*,*,カ変・来ル,基本形,来る,クル,クル
,,,,こ,来,911,911,10508,動詞,非自立,*,*,カ変・来ル,未然形,来る,コ,コ
,,,,こよ,来よ,910,910,9750,動詞,非自立,*,*,カ変・来ル,未然ウ接続,来る,コヨ,コヨ
,,,,き,来,914,914,10840,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ
,,,,くれ,来れ,905,905,9390,動詞,非自立,*,*,カ変・来ル,仮定形,来る,クレ,クレ
,,,,こよ,来よ,913,913,9750,動詞,非自立,*,*,カ変・来ル,命令ｙｏ,来る,コヨ,コヨ
,,,,こい,来い,912,912,9447,動詞,非自立,*,*,カ変・来ル,命令ｉ,来る,コイ,コイ
,,,,くりゃ,来りゃ,906,906,9571,動詞,非自立,*,*,カ変・来ル,仮定縮約１,来る,クリャ,クリャ
,,,,くん,来ん,908,908,9815,動詞,非自立,*,*,カ変・来ル,体言接続特殊,来る,クン,クン
,,,,く,来,909,909,11170,動詞,非自立,*,*,カ変・来ル,体言接続特殊２,来る,ク,ク
,,,,いたす,致す,1039,1039,9153,動詞,非自立,*,*,五段・サ行,基本形,致す,イタス,イタス
,,,,いたさ,致さ,1047,1047,9165,動詞,非自立,*,*,五段・サ行,未然形,致す,イタサ,イタサ
,,,,いたそ,致そ,1043,1043,9158,動詞,非自立,*,*,五段・サ行,未然ウ接続,致す,イタソ,イタソ
,,,,いたし,致し,1055,1055,9424,動詞,非自立,*,*,五段・サ行,連用形,致す,イタシ,イタシ
,,,,いたせ,致せ,1031,1031,9153,動詞,非自立,*,*,五段・サ行,仮定形,致す,イタセ,イタセ
,,,,いたせ,致せ,1051,1051,9153,動詞,非自立,*,*,五段・サ行,命令ｅ,致す,イタセ,イタセ
,,,,いたしゃ,致しゃ,1035,1035,9153,動詞,非自立,*,*,五段・サ行,仮定縮約１,致す,イタシャ,イタシャ
,,,,だす,出す,1037,1037,11150,動詞,非自立,*,*,五段・サ行,基本形,出す,ダス,ダス
,,,,ださ,出さ,1045,1045,10182,動詞,非自立,*,*,五段・サ行,未然形,出す,ダサ,ダサ
,,,,だそ,出そ,1041,1041,10567,動詞,非自立,*,*,五段・サ行,未然ウ接続,出す,ダソ,ダソ
,,,,だし,出し,1053,1053,11034,動詞,非自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ
,,,,だせ,出せ,1029,1029,10190,動詞,非自立,*,*,五段・サ行,仮定形,出す,ダセ,ダセ
,,,,だせ,出せ,1049,1049,10190,動詞,非自立,*,*,五段・サ行,命令ｅ,出す,ダセ,ダセ
,,,,だしゃ,出しゃ,1033,1033,10197,動詞,非自立,*,*,五段・サ行,仮定縮約１,出す,ダシャ,ダシャ